,x_values,14f,7f,KDE's sum,KDE's top,General KDE
34,10093.386773547096,4.734676932340263e-06,7.580440194544195e-06,1.2315117126884458e-05,7.580440194544195e-06,6.010607878082988e-06
35,10684.36873747495,4.902463080138444e-06,7.761414643253659e-06,1.2663877723392103e-05,7.761414643253659e-06,6.197841434319995e-06
36,11275.350701402807,5.064184837881422e-06,7.919380245612076e-06,1.2983565083493498e-05,7.919380245612076e-06,6.37525494841323e-06
37,11866.332665330665,5.216856003657898e-06,8.05398938189765e-06,1.3270845385555548e-05,8.05398938189765e-06,6.538649990972329e-06
38,12457.314629258519,5.357253228376134e-06,8.16496877486407e-06,1.3522222003240203e-05,8.16496877486407e-06,6.683567018116011e-06
39,13048.296593186373,5.482274462566199e-06,8.252210414385883e-06,1.3734484876952082e-05,8.252210414385883e-06,6.80587917316079e-06
40,13639.27855711423,5.58928786508922e-06,8.315853901334541e-06,1.3905141766423761e-05,8.315853901334541e-06,6.902319764710247e-06
41,14230.260521042088,5.676430501265401e-06,8.356340801641327e-06,1.4032771302906727e-05,8.356340801641327e-06,6.970884217501647e-06
42,14821.242484969942,5.742824859040269e-06,8.374425953554432e-06,1.4117250812594701e-05,8.374425953554432e-06,7.011070309739313e-06
43,15412.224448897796,5.788692889212013e-06,8.371137093455496e-06,1.4159829982667509e-05,8.371137093455496e-06,7.0239422360269756e-06
44,16003.206412825653,5.815360121207257e-06,8.347681866293834e-06,1.4163041987501092e-05,8.347681866293834e-06,7.012022029529909e-06
45,16594.18837675351,5.825154788058058e-06,8.305309407720103e-06,1.4130464195778162e-05,8.305309407720103e-06,6.979025911455521e-06
46,17185.170340681365,5.821217523464661e-06,8.245141344446037e-06,1.4066358867910696e-05,8.245141344446037e-06,6.9294744171301425e-06
47,17776.15230460922,5.807245176033321e-06,8.167993382028198e-06,1.397523855806152e-05,8.167993382028198e-06,6.86821511866902e-06
48,18367.134268537076,5.787197101410135e-06,8.0742128049835e-06,1.3861409906393635e-05,8.0742128049835e-06,6.7999059836027776e-06
49,18958.116232464934,5.764993749078478e-06,7.963558488483018e-06,1.3728552237561496e-05,7.963558488483018e-06,6.72851495339295e-06
50,19549.098196392788,5.7442355531969365e-06,7.835147919129967e-06,1.3579383472326904e-05,7.835147919129967e-06,6.656894936214278e-06
51,20140.080160320642,5.7279654399666956e-06,7.687490090462353e-06,1.3415455530429048e-05,7.687490090462353e-06,6.586490321395705e-06
52,20731.0621242485,5.718491329831479e-06,7.518614273899107e-06,1.3237105603730586e-05,7.518614273899107e-06,6.517219273758718e-06
53,21322.044088176357,5.7172767574236145e-06,7.326293369917026e-06,1.304357012734064e-05,7.326293369917026e-06,6.447555210029528e-06
54,21913.02605210421,5.724899271922077e-06,7.108348093666812e-06,1.283324736558889e-05,7.108348093666812e-06,6.374803181194745e-06
55,22504.008016032065,5.741068805706604e-06,6.863006260115037e-06,1.2604075065821641e-05,6.863006260115037e-06,6.2955368400102854e-06
56,23094.989979959922,5.764692792957945e-06,6.589281635112862e-06,1.2353974428070807e-05,6.589281635112862e-06,6.206135062984138e-06
57,23685.97194388778,5.793972256827228e-06,6.287330769944518e-06,1.2081303026771746e-05,6.287330769944518e-06,6.103339835252321e-06
58,24276.953907815638,5.826513659587686e-06,5.958745045595515e-06,1.1785258705183201e-05,5.958745045595515e-06,5.984752809577083e-06
59,24867.935871743488,5.8594447500852955e-06,5.606739256141801e-06,1.1466184006227097e-05,5.8594447500852955e-06,5.849198392275706e-06
60,25458.917835671346,5.889528122752255e-06,5.236207120139467e-06,1.1125735242891722e-05,5.889528122752255e-06,5.6969044911894905e-06
61,26049.899799599203,5.913272486450796e-06,4.853627050620471e-06,1.0766899537071266e-05,5.913272486450796e-06,5.529483599739727e-06
62,26640.881763527053,5.92704730986058e-06,4.46681670569607e-06,1.039386401555665e-05,5.92704730986058e-06,5.349730400698205e-06
63,27231.86372745491,5.927210231781235e-06,4.08455037105833e-06,1.0011760602839564e-05,5.927210231781235e-06,5.16128103267951e-06
64,27822.84569138277,5.910257415379766e-06,3.7160672217953172e-06,9.626324637175083e-06,5.910257415379766e-06,4.968198272493417e-06
65,28413.827655310626,5.873004442395197e-06,3.370509434770745e-06,9.243513877165942e-06,5.873004442395197e-06,4.774553156255404e-06
66,29004.809619238484,5.812799581608939e-06,3.0563359692777694e-06,8.869135550886709e-06,5.812799581608939e-06,4.584066793272709e-06
67,29595.791583166334,5.727763143342345e-06,2.780760208477773e-06,8.508523351820118e-06,5.727763143342345e-06,4.399858738270087e-06
68,30186.77354709419,5.6170374706681366e-06,2.5492577225669027e-06,8.166295193235039e-06,5.6170374706681366e-06,4.2243245840550425e-06
69,30777.75551102205,5.481023546042046e-06,2.3651847518676803e-06,7.846208297909726e-06,5.481023546042046e-06,4.05914054097848e-06
70,31368.7374749499,5.321573891739306e-06,2.2295394045054684e-06,7.551113296244774e-06,5.321573891739306e-06,3.90537148739184e-06
71,31959.719438877757,5.142108884062269e-06,2.140886844848665e-06,7.282995728910934e-06,5.142108884062269e-06,3.7636448451949215e-06
72,32550.701402805615,4.947625791755948e-06,2.09545766199931e-06,7.043083453755258e-06,4.947625791755948e-06,3.6343473442010393e-06
73,33141.68336673347,4.744577131883823e-06,2.087415793891457e-06,6.83199292577528e-06,4.744577131883823e-06,3.517804996762164e-06
74,33732.66533066133,4.540606873863719e-06,2.109279434787124e-06,6.649886308650843e-06,4.540606873863719e-06,3.4144164457583627e-06
75,34323.64729458918,4.344148388097607e-06,2.1524659176199664e-06,6.496614305717574e-06,4.344148388097607e-06,3.324723271754941e-06
76,34914.62925851704,4.1639049341777214e-06,2.2079204294330163e-06,6.371825363610738e-06,4.1639049341777214e-06,3.249414592272878e-06
77,35505.611222444895,4.0082495949959305e-06,2.2667795592791292e-06,6.27502915427506e-06,4.0082495949959305e-06,3.1892745906487612e-06
78,36096.593186372746,3.884594487048206e-06,2.3210151831135787e-06,6.205609670161785e-06,3.884594487048206e-06,3.1450887272335618e-06
79,36687.5751503006,3.7987867267473023e-06,2.3640031088213924e-06,6.162789835568695e-06,3.7987867267473023e-06,3.1175268036936524e-06
80,37278.55711422846,3.7545896064807884e-06,2.390965019181299e-06,6.145554625662088e-06,3.7545896064807884e-06,3.1070193974753244e-06
81,37869.53907815632,3.7533012935516167e-06,2.3992418384453083e-06,6.152543131996925e-06,3.7533012935516167e-06,3.113639867431561e-06
82,38460.521042084176,3.7935507495663173e-06,2.388371296670986e-06,6.181922046237304e-06,3.7935507495663173e-06,3.1369988843826763e-06
83,39051.503006012026,3.8712931158540585e-06,2.3599610000448316e-06,6.23125411589889e-06,3.8712931158540585e-06,3.1761538805848137e-06
84,39642.484969939884,3.980006890450452e-06,2.317368870077333e-06,6.297375760527785e-06,3.980006890450452e-06,3.2295331359996617e-06
85,40233.46693386774,4.111075522068236e-06,2.265223049859418e-06,6.376298571927654e-06,4.111075522068236e-06,3.2948740445717776e-06
86,40824.44889779559,4.254319105782834e-06,2.208830800236401e-06,6.463149906019235e-06,4.254319105782834e-06,3.3691774358057404e-06
87,41415.43086172345,4.398629647551546e-06,2.1535382517403637e-06,6.55216789929191e-06,4.398629647551546e-06,3.448684090183883e-06
88,42006.41282565131,4.532656961454093e-06,2.104108439543608e-06,6.636765400997701e-06,4.532656961454093e-06,3.528884683277374e-06
89,42597.394789579164,4.645491787493793e-06,2.0641829674841503e-06,6.709674754977944e-06,4.645491787493793e-06,3.604578797526843e-06
90,43188.37675350702,4.727297400595024e-06,2.03588304191743e-06,6.763180442512454e-06,4.727297400595024e-06,3.6700005836252375e-06
91,43779.35871743487,4.769849439029207e-06,2.019589580788441e-06,6.7894390198176485e-06,4.769849439029207e-06,3.7190264476182343e-06
92,44370.34068136273,4.766954271810263e-06,2.0139215647762568e-06,6.78087583658652e-06,4.766954271810263e-06,3.7454726461227076e-06
93,44961.32264529059,4.714727410259842e-06,2.0159092606932784e-06,6.73063667095312e-06,4.714727410259842e-06,3.7434778185071568e-06
94,45552.30460921844,4.6117240835827956e-06,2.0213371674055177e-06,6.633061250988313e-06,4.6117240835827956e-06,3.7079486603399025e-06
95,46143.286573146295,4.458923478976977e-06,2.0252131581762927e-06,6.48413663715327e-06,4.458923478976977e-06,3.6350290601028665e-06
96,46734.26853707415,4.259576104055394e-06,2.022307516308647e-06,6.281883620364041e-06,4.259576104055394e-06,3.5225381082520837e-06
97,47325.25050100201,4.018930391345673e-06,2.0076998421787946e-06,6.0266302335244675e-06,4.018930391345673e-06,3.3703147045081056e-06
98,47916.23246492987,3.7438602586946232e-06,1.977273679289252e-06,5.721133937983875e-06,3.7438602586946232e-06,3.1804093654994056e-06
99,48507.21442885772,3.442419987286379e-06,1.9281076965237588e-06,5.370527683810138e-06,3.442419987286379e-06,2.957078558746708e-06
100,49098.196392785576,3.1233563716312363e-06,1.8587269745637573e-06,4.982083346194993e-06,3.1233563716312363e-06,2.7065620267185763e-06
101,49689.17835671343,2.795610283909787e-06,1.769196250081831e-06,4.564806533991619e-06,2.795610283909787e-06,2.436654993177138e-06
102,50280.160320641284,2.467840092298202e-06,1.6610563308173538e-06,4.1288964231155554e-06,2.467840092298202e-06,2.15611886608267e-06
103,50871.14228456914,2.1479973343453665e-06,1.5371227303763219e-06,3.6851200647216886e-06,2.1479973343453665e-06,1.8739996071716404e-06
104,51462.124248497,1.8429804608317743e-06,1.4011796513915507e-06,3.244160112223325e-06,1.8429804608317743e-06,1.5989370183726442e-06
105,52053.10621242486,1.558385498175683e-06,1.2576112035373134e-06,2.8159967017129963e-06,1.558385498175683e-06,1.3385479803756404e-06
106,52644.088176352714,1.298363718562802e-06,1.1110144821157717e-06,2.4093782006785736e-06,1.298363718562802e-06,1.0989525136974761e-06
107,53235.070140280564,1.0655868071770023e-06,9.65836076925281e-07,2.031422884102283e-06,1.0655868071770023e-06,8.844867503114833e-07
108,53826.05210420842,8.613107255598777e-07,8.260657674130715e-07,1.6873764929729493e-06,8.613107255598777e-07,6.976168824388328e-07
109,54417.03406813628,6.855216254027618e-07,6.950102045274024e-07,1.380531829930164e-06,6.950102045274024e-07,5.390389175270182e-07
110,55008.01603206413,5.371416767645717e-07,5.75157162459408e-07,1.1122988392239797e-06,5.75157162459408e-07,4.0792584515026686e-07
111,55598.99799599199,4.1427006041778605e-07,4.6812928176219607e-07,8.823993421799822e-07,4.6812928176219607e-07,3.0226996770669124e-07
112,56189.979959919845,3.144346973541406e-07,3.747165943959584e-07,6.89151291750099e-07,3.747165943959584e-07,2.192646580019929e-07
113,56780.9619238477,2.3483317532898532e-07,2.9497047017161635e-07,5.298036455006016e-07,2.9497047017161635e-07,1.5567547525366636e-07
114,57371.94388777556,1.7254607981792517e-07,2.2833830864523338e-07,4.008843884631585e-07,2.2833830864523338e-07,1.081626374869646e-07
115,57962.92585170342,1.247116703884688e-07,1.7381812829016748e-07,2.985297986786363e-07,1.7381812829016748e-07,7.35318939619111e-08
116,58553.907815631275,8.865668507152703e-08,1.3011456633649338e-07,2.187712514080204e-07,1.3011456633649338e-07,4.8905647755002074e-08
117,59144.88977955912,6.19832658709594e-08,9.578184981950234e-08,1.5776511569046174e-07,9.578184981950234e-08,3.181834848971226e-08
